__time,process,LOG_LEVEL,pid,Log,Origin,host
1641817021000,CRON,Info,196445,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 12:17:01 datanode3 CRON[196445]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641817021000,CRON,Info,25923,pam_unix(cron:session): session closed for user root,Jan 10 12:17:01 datanode1 CRON[25923]: pam_unix(cron:session): session closed for user root,datanode1
1641817021000,CRON,Info,25923,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 12:17:01 datanode1 CRON[25923]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641817801000,CRON,Info,209992,pam_unix(cron:session): session closed for user root,Jan 10 12:30:01 datanode3 CRON[209992]: pam_unix(cron:session): session closed for user root,datanode3
1641817801000,CRON,Info,209992,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 12:30:01 datanode3 CRON[209992]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641820621000,CRON,Info,13406,pam_unix(cron:session): session closed for user root,Jan 10 13:17:01 datanode1 CRON[13406]: pam_unix(cron:session): session closed for user root,datanode1
1641820621000,CRON,Info,13406,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 13:17:01 datanode1 CRON[13406]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641820621000,CRON,Info,16385,pam_unix(cron:session): session closed for user root,Jan 10 13:17:01 namenode2 CRON[16385]: pam_unix(cron:session): session closed for user root,namenode2
1641820621000,CRON,Info,16385,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 13:17:01 namenode2 CRON[16385]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641820621000,CRON,Info,258884,pam_unix(cron:session): session closed for user root,Jan 10 13:17:01 datanode3 CRON[258884]: pam_unix(cron:session): session closed for user root,datanode3
1641820621000,CRON,Info,258884,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 13:17:01 datanode3 CRON[258884]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641821401000,CRON,Info,272428,pam_unix(cron:session): session closed for user root,Jan 10 13:30:01 datanode3 CRON[272428]: pam_unix(cron:session): session closed for user root,datanode3
1641821401000,CRON,Info,272428,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 13:30:01 datanode3 CRON[272428]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641824221000,CRON,Info,14768,pam_unix(cron:session): session closed for user root,Jan 10 14:17:01 namenode2 CRON[14768]: pam_unix(cron:session): session closed for user root,namenode2
1641824221000,CRON,Info,14768,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 14:17:01 namenode2 CRON[14768]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641824221000,CRON,Info,321211,pam_unix(cron:session): session closed for user root,Jan 10 14:17:01 datanode3 CRON[321211]: pam_unix(cron:session): session closed for user root,datanode3
1641824221000,CRON,Info,321211,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 14:17:01 datanode3 CRON[321211]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641824221000,CRON,Info,711,pam_unix(cron:session): session closed for user root,Jan 10 14:17:01 datanode1 CRON[711]: pam_unix(cron:session): session closed for user root,datanode1
1641824221000,CRON,Info,711,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 14:17:01 datanode1 CRON[711]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641825001000,CRON,Info,334760,pam_unix(cron:session): session closed for user root,Jan 10 14:30:01 datanode3 CRON[334760]: pam_unix(cron:session): session closed for user root,datanode3
1641825001000,CRON,Info,334760,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 14:30:01 datanode3 CRON[334760]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641827821000,CRON,Info,13342,pam_unix(cron:session): session closed for user root,Jan 10 15:17:01 namenode2 CRON[13342]: pam_unix(cron:session): session closed for user root,namenode2
1641827821000,CRON,Info,13342,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 15:17:01 namenode2 CRON[13342]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641827821000,CRON,Info,20672,pam_unix(cron:session): session closed for user root,Jan 10 15:17:01 datanode1 CRON[20672]: pam_unix(cron:session): session closed for user root,datanode1
1641827821000,CRON,Info,20672,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 15:17:01 datanode1 CRON[20672]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641827821000,CRON,Info,383502,pam_unix(cron:session): session closed for user root,Jan 10 15:17:01 datanode3 CRON[383502]: pam_unix(cron:session): session closed for user root,datanode3
1641827821000,CRON,Info,383502,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 15:17:01 datanode3 CRON[383502]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
