,티커,종목명
387,257990,나우코스
388,138610,나이벡
389,130580,나이스디앤비
390,036800,나이스정보통신
391,267320,나인테크
392,001260,남광토건
393,008350,남선알미늄
394,008355,남선알미우
395,004270,남성
396,003920,남양유업
397,003925,남양유업우
398,025860,남해화학
399,111710,남화산업
400,091590,남화토건
401,168330,내츄럴엔도텍
402,094860,네오리진
403,253590,네오셈
404,212560,네오오토
405,095660,네오위즈
406,042420,네오위즈홀딩스
407,950220,네오이뮨텍
408,311390,네오크레마
409,085910,네오티스
410,092730,네오팜
411,290660,네오펙트
412,306620,네온테크
413,153460,네이블
414,007390,네이처셀
415,033640,네패스
416,330860,네패스아크
417,005720,넥센
418,005725,넥센우
419,002350,넥센타이어
420,002355,넥센타이어1우B
421,089140,넥스턴바이오
422,137940,넥스트아이
423,396270,넥스트칩
424,348210,넥스틴
425,225570,넥슨게임즈
426,217270,넵튠
427,251270,넷마블
428,317860,노드메이슨
429,104620,노랑풍선
430,090350,노루페인트
431,090355,노루페인트우
432,000320,노루홀딩스
433,000325,노루홀딩스우
434,194700,노바렉스
435,285490,노바텍
436,229500,노브메타파마
437,106520,노블엠앤비
438,376930,노을
439,278650,노터스
440,006280,녹십자
441,142280,녹십자엠에스
442,234690,녹십자웰빙
443,005250,녹십자홀딩스
444,005257,녹십자홀딩스2우
445,065560,녹원씨엔아이
446,004370,농심
447,072710,농심홀딩스
448,054050,농우바이오
449,069140,누리플랜
450,040160,누리플렉스
451,332290,누보
452,126870,뉴로스
453,060260,뉴보텍
454,012340,뉴인텍
455,214870,뉴지랩파마
456,270870,뉴트리
457,144960,뉴파워프라즈마
458,085670,뉴프렉스
459,119860,다나와
460,064260,다날
461,093640,다믈멀티미디어
462,340360,다보링크
463,039560,다산네트웍스
464,058730,다스코
465,298870,다올인베스트먼트
466,030210,다올투자증권
467,023590,다우기술
468,032190,다우데이타
469,323350,다원넥스뷰
470,068240,다원시스
471,145210,다이나믹디자인
472,271850,다이오진
473,019680,대교
474,019685,대교우B
475,006370,대구백화점
476,008060,대덕
477,00806K,대덕1우
478,353200,대덕전자
479,35320K,대덕전자1우
480,000490,대동
481,178600,대동고려삼
482,020400,대동금속
483,008830,대동기어
484,048470,대동스틸
485,008110,대동전자
486,004780,대륙제관
487,005750,대림B&Co
488,017650,대림제지
489,006570,대림통상
490,007720,대명소노시즌
491,389260,대명에너지
492,317850,대모
493,290670,대보마그네틱
494,078140,대봉엘에스
495,001680,대상
496,001685,대상우
497,084690,대상홀딩스
498,084695,대상홀딩스우
499,036480,대성미생물
500,128820,대성산업
501,117580,대성에너지
502,025440,대성엘텍
503,027830,대성창투
504,104040,대성파인텍
505,129920,대성하이텍
506,016710,대성홀딩스
507,387310,대신밸런스제10호스팩
508,397500,대신밸런스제11호스팩
509,426670,대신밸런스제12호스팩
510,020180,대신정보통신
511,003540,대신증권
512,003547,대신증권2우B
513,003545,대신증권우
514,045390,대아티아이
515,009190,대양금속
516,108380,대양전기공업
517,006580,대양제지
518,014160,대영포장
519,047040,대우건설
520,009320,대우부품
521,042660,대우조선해양
522,003090,대웅
523,069620,대웅제약
524,007680,대원
525,000430,대원강업
526,048910,대원미디어
527,005710,대원산업
528,006340,대원전선
529,006345,대원전선우
530,003220,대원제약
531,024890,대원화성
532,290380,대유
533,002880,대유에이텍
534,290120,대유에이피
535,000300,대유플러스
536,120240,대정화금
537,003310,대주산업
538,114920,대주이엔티
539,078600,대주전자재료
540,012800,대창
541,015230,대창단조
542,096350,대창솔루션
543,140520,대창스틸
544,131220,대한과학
545,010170,대한광통신
546,060900,대한그린파워
547,054670,대한뉴팜
548,001070,대한방직
549,023910,대한약품
550,006650,대한유화
551,001440,대한전선
552,084010,대한제강
553,001790,대한제당
554,001795,대한제당우
555,001130,대한제분
556,003490,대한항공
557,003495,대한항공우
558,005880,대한해운
559,003830,대한화섬
560,016090,대현
561,069460,대호에이엘
562,021040,대호특수강
563,021045,대호특수강우
564,067080,대화제약
565,298540,더네이쳐홀딩스
566,192080,더블유게임즈
567,299170,더블유에스아이
568,012510,더존비즈온
569,302920,더콘텐츠온
570,213420,덕산네오룩스
571,317330,덕산테코피아
572,077360,덕산하이메탈
573,004830,덕성
574,004835,덕성우
575,090410,덕신하우징
576,024900,덕양산업
577,263600,덕우전자
578,194480,데브시스터즈
579,348840,데이드림엔터
580,263800,데이타솔루션
581,199150,데이터스트림즈
582,206560,덱스터
583,261200,덴티스
584,145720,덴티움
585,227420,도부마스크
586,067990,도이치모터스
587,002150,도화엔지니어링
588,006620,동구바이오제약
589,100130,동국S&C
590,005160,동국산업
591,075970,동국알앤에스
592,001230,동국제강
593,086450,동국제약
594,023450,동남합성
595,004140,동방
596,099410,동방선기
597,007590,동방아그로
598,005960,동부건설
599,005965,동부건설우
600,026960,동서
601,002210,동성제약
602,102260,동성케미컬
603,033500,동성화인텍
604,025950,동신건설
605,000640,동아쏘시오홀딩스
606,170900,동아에스티
607,088130,동아엘텍
608,028100,동아지질
609,282690,동아타이어
610,041930,동아화성
611,001520,동양
612,001527,동양2우B
613,084670,동양고속
614,082640,동양생명
615,060380,동양에스텍
616,001525,동양우
617,079960,동양이엔피
618,008970,동양철관
619,228340,동양파일
620,092780,동양피스톤
621,088910,동우팜투테이블
622,094170,동운아나텍
623,049770,동원F&B
624,013120,동원개발
625,018500,동원금속
626,006040,동원산업
627,030720,동원수산
628,014820,동원시스템즈
629,014825,동원시스템즈우
630,163560,동일고무벨트
631,109860,동일금속
632,032960,동일기연
633,004890,동일산업
634,002690,동일제강
635,023790,동일철강
636,005290,동진쎄미켐
637,025900,동화기업
638,000020,동화약품
639,000150,두산
640,000157,두산2우B
641,241560,두산밥캣
642,034020,두산에너빌리티
643,000155,두산우
644,131970,두산테스나
645,336260,두산퓨얼셀
646,33626K,두산퓨얼셀1우
647,33626L,두산퓨얼셀2우B
648,016740,두올
649,073190,듀오백
650,176750,듀켐바이오
651,030350,드래곤플라이
652,203650,드림시큐리티
653,223250,드림씨아이에스
654,060570,드림어스컴퍼니
655,192650,드림텍
656,217620,디딤
657,016670,디모아
658,187870,디바이스이엔지
659,066670,디스플레이텍
660,024090,디씨엠
661,003160,디아이
662,092200,디아이씨
663,110990,디아이티
664,078590,디아크
665,263690,디알젬
666,214680,디알텍
667,377190,디앤디플랫폼리츠
668,263720,디앤씨미디어
669,376300,디어유
670,141020,디에스앤엘
671,109740,디에스케이
672,196490,디에이테크놀로지
673,066900,디에이피
674,180400,디엑스앤브이엑스
675,127120,디엔에이링크
676,092070,디엔에프
677,039840,디오
678,013570,디와이
679,219550,디와이디
680,310870,디와이씨
681,210540,디와이파워
682,104460,디와이피엔에프
683,079810,디이엔티
684,113810,디젠스
685,043360,디지아이
686,197140,디지캡
687,068930,디지털대성
688,033130,디지틀조선
689,105740,디케이락
690,263020,디케이앤디
691,290550,디케이티
692,187220,디티앤씨
693,163430,디피코
694,131180,딜리
695,315640,딥노이드
696,317120,라닉스
697,042510,라온시큐어
698,232680,라온테크
699,300120,라온피플
700,171120,라이온켐텍
701,069540,라이트론
702,285770,라이프사이언스테크놀로지
703,347700,라이프시맨틱스
704,214260,라파스
705,403360,라피치
706,115390,락앤락
707,200350,래몽래인
708,171010,램테크놀러지
709,084650,랩지노믹스
710,217500,러셀
711,092590,럭스피아
712,141080,레고켐바이오
713,060300,레드로버
714,038390,레드캡투어
715,294140,레몬
716,228670,레이
717,228850,레이언스
718,412350,레이저쎌
719,281740,레이크머티리얼즈
720,277810,레인보우로보틱스
721,179720,렌딩머신
722,215100,로보로보
723,090360,로보스타
724,238500,로보쓰리
725,108490,로보티즈
