rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기,2017.01.01 ~ 2017.12.31,"1,431,015,800,850",제 17 기,2016.01.01 ~ 2016.12.31,"1,253,876,534,610",제 16 기,2015.01.01 ~ 2015.12.31,"1,055,580,857,057",23,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기,2017.01.01 ~ 2017.12.31,"77,221,587,340",제 17 기,2016.01.01 ~ 2016.12.31,"61,859,364,996",제 16 기,2015.01.01 ~ 2015.12.31,"74,258,957,322",25,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2017.01.01 ~ 2017.12.31,"33,014,874,764",제 17 기,2016.01.01 ~ 2016.12.31,"28,633,579,700",제 16 기,2015.01.01 ~ 2015.12.31,"38,257,189,153",27,KRW
20180330003492,11011,2017,00365387,095570,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기,2017.01.01 ~ 2017.12.31,"20,647,179,903",제 17 기,2016.01.01 ~ 2016.12.31,"17,079,187,443",제 16 기,2015.01.01 ~ 2015.12.31,"28,991,066,418",29,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2017.12.31 현재,"175,963,729,404",제 17 기,2016.12.31 현재,"139,464,144,034",제 16 기,2015.12.31 현재,"91,870,888,881",2,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2017.12.31 현재,"798,569,043,208",제 17 기,2016.12.31 현재,"666,747,313,642",제 16 기,2015.12.31 현재,"521,016,745,613",4,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2017.12.31 현재,"974,532,772,612",제 17 기,2016.12.31 현재,"806,211,457,676",제 16 기,2015.12.31 현재,"612,887,634,494",6,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2017.12.31 현재,"437,011,149,104",제 17 기,2016.12.31 현재,"282,806,275,786",제 16 기,2015.12.31 현재,"222,921,102,410",8,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2017.12.31 현재,"244,699,060,439",제 17 기,2016.12.31 현재,"241,406,497,105",제 16 기,2015.12.31 현재,"127,625,780,401",10,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2017.12.31 현재,"681,710,209,543",제 17 기,2016.12.31 현재,"524,212,772,891",제 16 기,2015.12.31 현재,"350,546,882,811",12,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2017.12.31 현재,"46,822,295,000",제 17 기,2016.12.31 현재,"46,822,295,000",제 16 기,2015.12.31 현재,"46,822,295,000",15,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2017.12.31 현재,"167,677,191,899",제 17 기,2016.12.31 현재,"152,708,821,419",제 16 기,2015.12.31 현재,"136,744,121,301",19,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2017.12.31 현재,"292,822,563,069",제 17 기,2016.12.31 현재,"281,998,684,785",제 16 기,2015.12.31 현재,"262,340,751,683",22,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2017.01.01 ~ 2017.12.31,"280,266,235,309",제 17 기,2016.01.01 ~ 2016.12.31,"244,971,817,526",제 16 기,2015.01.01 ~ 2015.12.31,"196,520,251,563",24,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2017.01.01 ~ 2017.12.31,"36,587,199,915",제 17 기,2016.01.01 ~ 2016.12.31,"28,836,759,296",제 16 기,2015.01.01 ~ 2015.12.31,"23,670,123,667",26,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2017.01.01 ~ 2017.12.31,"23,878,741,872",제 17 기,2016.01.01 ~ 2016.12.31,"20,237,285,752",제 16 기,2015.01.01 ~ 2015.12.31,"22,127,541,418",28,KRW
20180330003492,11011,2017,00365387,095570,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2017.01.01 ~ 2017.12.31,"17,777,708,180",제 17 기,2016.01.01 ~ 2016.12.31,"15,964,700,118",제 16 기,2015.01.01 ~ 2015.12.31,"19,084,590,924",30,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,유동자산,제 48 기,2017.12.31 현재,"1,218,481,945,179",제 47 기,2016.12.31 현재,"1,179,857,738,221",제 46 기,2015.12.31 현재,"969,178,973,579",1,KRW
